"Var1","Freq"
"AGRICULTURAL FREEZE",3
"BLIZZARD",6
"COASTAL FLOODING",2
"COLD AIR TORNADO",1
"COLD AND WET CONDITIONS",1
"COLD/WIND CHILL",2
"COOL AND WET",1
"DAMAGING FREEZE",5
"DROUGHT",251
"DROUGHT/EXCESSIVE HEAT",9
"DRY MICROBURST",6
"DUST STORM",4
"DUST STORM/HIGH WINDS",1
"EARLY FROST",1
"EXCESSIVE HEAT",2
"EXCESSIVE WETNESS",1
"EXTREME COLD",50
"EXTREME COLD/WIND CHILL",1
"EXTREME HEAT",1
"EXTREME WINDCHILL",2
"FLASH FLOOD",2112
"FLASH FLOOD/FLOOD",12
"FLASH FLOODING",63
"FLASH FLOODING/FLOOD",8
"FLOOD",1759
"FLOOD/FLASH FLOOD",14
"FLOOD/RAIN/WINDS",5
"FLOODING",25
"FLOODS",1
"FOREST FIRES",1
"FREEZE",17
"FROST",6
"FROST/FREEZE",103
"GLAZE ICE",2
"GUSTNADO",3
"GUSTY WIND",1
"GUSTY WINDS",1
"HAIL",9373
"HAIL 075",1
"HAIL 100",1
"HAIL 125",1
"HAIL 150",1
"HAIL 200",1
"HAIL/WIND",2
"HAIL/WINDS",2
"HARD FREEZE",2
"HEAT",10
"HEAT WAVE",5
"HEAT WAVE DROUGHT",1
"HEAVY RAIN",132
"HEAVY RAIN/HIGH SURF",1
"HEAVY RAINS",4
"HEAVY RAINS/FLOODING",5
"HEAVY SNOW",35
"HEAVY SNOW/HIGH WINDS & FLOOD",1
"HIGH WIND",203
"HIGH WINDS",17
"HIGH WINDS HEAVY RAINS",1
"HIGH WINDS/COLD",5
"HURRICANE",48
"HURRICANE ERIN",4
"HURRICANE FELIX",1
"HURRICANE OPAL",3
"HURRICANE OPAL/HIGH WINDS",1
"HURRICANE/TYPHOON",33
"HVY RAIN",1
"ICE JAM FLOODING",1
"ICE STORM",24
"LANDSLIDE",2
"LIGHTNING",110
"MARINE THUNDERSTORM WIND",1
"OTHER",30
"RAIN",2
"RIVER FLOOD",20
"RIVER FLOODING",4
"SEVERE THUNDERSTORM",1
"SEVERE THUNDERSTORM WINDS",2
"SEVERE THUNDERSTORMS",1
"SMALL HAIL",9
"SMALL STREAM FLOOD",1
"SNOW",1
"STORM SURGE",1
"STORM SURGE/TIDE",2
"STRONG WIND",94
"STRONG WINDS",1
"THUDERSTORM WINDS",1
"THUNDERSTORM",1
"THUNDERSTORM HAIL",1
"THUNDERSTORM WIND",946
"THUNDERSTORM WIND G60",1
"THUNDERSTORM WIND.",1
"THUNDERSTORM WINDS",921
"THUNDERSTORM WINDS G60",1
"THUNDERSTORM WINDS HAIL",4
"THUNDERSTORM WINDS LIGHTNING",1
"THUNDERSTORM WINDS/ FLOOD",1
"THUNDERSTORM WINDS/HAIL",2
"THUNDERSTORM WINDSS",12
"THUNDERSTORMS",1
"THUNDERSTORMS WIND",1
"THUNDERSTORMS WINDS",1
"TORNADO",1493
"TORNADO F0",2
"TORNADOES",2
"TORNADOES, TSTM WIND, HAIL",1
"TROPICAL STORM",64
"TROPICAL STORM DEAN",1
"TROPICAL STORM GORDON",1
"TROPICAL STORM JERRY",2
"TSTM WIND",3447
"TSTM WIND/HAIL",89
"TSUNAMI",1
"TYPHOON",5
"UNSEASONABLE COLD",1
"UNSEASONABLY COLD",3
"UNSEASONABLY WARM",1
"UNSEASONAL RAIN",2
"URBAN FLOOD",58
"URBAN FLOODING",49
"URBAN/SML STREAM FLD",112
"WILD/FOREST FIRE",38
"WILD/FOREST FIRES",1
"WILDFIRE",89
"WILDFIRES",1
"WIND",1
"WIND DAMAGE",2
"WINDS",2
"WINTER STORM",32
"WINTER STORM HIGH WINDS",1
"WINTER STORMS",1
"WINTER WEATHER",1
