"Var1","Freq"
"AVALANCHE",42
"BLACK ICE",1
"BLIZZARD",22
"BLOWING SNOW",2
"COASTAL STORM",1
"COLD",5
"COLD/WIND CHILL",2
"DENSE FOG",10
"DUST STORM",8
"EXCESSIVE HEAT",64
"EXCESSIVE RAINFALL",1
"EXTREME COLD",8
"EXTREME COLD/WIND CHILL",5
"EXTREME WINDCHILL",1
"FLASH FLOOD",85
"FLOOD",44
"FLOOD/FLASH FLOOD",3
"FLOODING",1
"FOG",23
"FOG AND COLD TEMPERATURES",1
"FREEZING DRIZZLE",2
"FREEZING RAIN",1
"FROST",1
"GLAZE",3
"GUSTY WINDS",1
"HAIL",3
"HEAT",15
"HEAT WAVE",5
"HEAT WAVE DROUGHT",1
"HEAVY RAIN",18
"HEAVY SNOW",32
"HEAVY SURF",1
"HEAVY SURF/HIGH SURF",7
"HIGH SEAS",2
"HIGH SURF",18
"HIGH WIND",69
"HIGH WIND AND SEAS",1
"HIGH WINDS",9
"HIGH WINDS/SNOW",1
"HURRICANE",4
"HURRICANE/TYPHOON",5
"ICE",2
"ICE STORM",24
"ICY ROADS",4
"LANDSLIDE",4
"LANDSLIDES",1
"LIGHT SNOW",1
"LIGHTNING",263
"MARINE ACCIDENT",1
"MARINE HIGH WIND",1
"MARINE MISHAP",1
"MARINE STRONG WIND",3
"MARINE THUNDERSTORM WIND",5
"MARINE TSTM WIND",1
"MIXED PRECIP",1
"RAIN/SNOW",1
"RIP CURRENT",47
"RIP CURRENTS",29
"ROUGH SEAS",1
"ROUGH SURF",1
"SNOW",2
"STORM SURGE",1
"STRONG WIND",22
"STRONG WINDS",1
"THUNDERSNOW",1
"THUNDERSTORM WIND",40
"THUNDERSTORM WINDS",16
"TORNADO",1378
"TROPICAL STORM",8
"TROPICAL STORM GORDON",1
"TSTM WIND",148
"TSTM WIND/HAIL",3
"TSUNAMI",1
"URBAN/SML STREAM FLD",5
"WATERSPOUT/TORNADO",1
"WILD FIRES",1
"WILD/FOREST FIRE",4
"WILDFIRE",16
"WIND",8
"WINTER STORM",52
"WINTER STORM HIGH WINDS",1
"WINTER STORMS",1
"WINTER WEATHER",12
"WINTER WEATHER/MIX",7
