"Var1","Freq"
"   HIGH SURF ADVISORY",1
" FLASH FLOOD",1
" TSTM WIND",2
" TSTM WIND (G45)",1
"?",1
"APACHE COUNTY",1
"ASTRONOMICAL HIGH TIDE",8
"ASTRONOMICAL LOW TIDE",2
"AVALANCHE",54
"BEACH EROSION",1
"BLIZZARD",213
"BLIZZARD/WINTER STORM",1
"BLOWING DUST",1
"BLOWING SNOW",1
"BRUSH FIRE",2
"COASTAL  FLOODING/EROSION",1
"COASTAL EROSION",1
"COASTAL FLOOD",165
"COASTAL FLOODING",61
"COASTAL FLOODING/EROSION",3
"COASTAL STORM",1
"COASTAL SURGE",1
"COLD",5
"COLD AIR TORNADO",1
"COLD/WIND CHILL",14
"DAM BREAK",2
"DAMAGING FREEZE",1
"DENSE FOG",66
"DENSE SMOKE",1
"DOWNBURST",1
"DROUGHT",54
"DRY MICROBURST",67
"DUST DEVIL",86
"DUST DEVIL WATERSPOUT",1
"DUST STORM",76
"DUST STORM/HIGH WINDS",1
"EROSION/CSTL FLOOD",2
"EXCESSIVE HEAT",24
"EXCESSIVE SNOW",25
"EXTENDED COLD",1
"EXTREME COLD",53
"EXTREME COLD/WIND CHILL",19
"EXTREME HEAT",3
"EXTREME WIND CHILL",1
"EXTREME WINDCHILL",2
"FLASH FLOOD",20535
"FLASH FLOOD - HEAVY RAIN",2
"FLASH FLOOD FROM ICE JAMS",5
"FLASH FLOOD LANDSLIDES",1
"FLASH FLOOD/",1
"FLASH FLOOD/ STREET",1
"FLASH FLOOD/FLOOD",15
"FLASH FLOOD/LANDSLIDE",1
"FLASH FLOODING",290
"FLASH FLOODING/FLOOD",8
"FLASH FLOODING/THUNDERSTORM WI",1
"FLASH FLOODS",12
"FLOOD",9708
"FLOOD & HEAVY RAIN",1
"FLOOD FLASH",1
"FLOOD/FLASH",1
"FLOOD/FLASH FLOOD",274
"FLOOD/FLASH/FLOOD",1
"FLOOD/FLASHFLOOD",1
"FLOOD/RIVER FLOOD",1
"FLOODING",53
"FLOODS",3
"FOG",65
"FOREST FIRES",1
"FREEZE",2
"FREEZING DRIZZLE",7
"FREEZING FOG",7
"FREEZING RAIN",34
"FREEZING RAIN/SLEET",1
"FREEZING RAIN/SNOW",3
"FROST",1
"FROST/FREEZE",19
"FROST\FREEZE",1
"FUNNEL CLOUD",12
"GLAZE",8
"GLAZE ICE",2
"GRADIENT WIND",6
"GRASS FIRES",1
"GROUND BLIZZARD",2
"GUSTNADO",5
"GUSTY WIND",12
"GUSTY WIND/HAIL",1
"GUSTY WIND/HVY RAIN",1
"GUSTY WIND/RAIN",1
"GUSTY WINDS",28
"HAIL",23027
"HAIL 0.75",1
"HAIL 100",1
"HAIL 175",2
"HAIL 275",3
"HAIL 450",1
"HAIL 75",1
"HAIL DAMAGE",1
"HAIL/WIND",1
"HAIL/WINDS",1
"HAILSTORM",3
"HEAT",8
"HEAT WAVE",8
"HEAT WAVE DROUGHT",1
"HEAVY LAKE SNOW",1
"HEAVY MIX",8
"HEAVY PRECIPITATION",1
"HEAVY RAIN",958
"HEAVY RAIN AND FLOOD",1
"HEAVY RAIN/HIGH SURF",1
"HEAVY RAIN/LIGHTNING",1
"HEAVY RAIN/SEVERE WEATHER",1
"HEAVY RAIN/SMALL STREAM URBAN",1
"HEAVY RAIN/SNOW",1
"HEAVY RAINS",19
"HEAVY RAINS/FLOODING",9
"HEAVY SHOWER",1
"HEAVY SNOW",1236
"HEAVY SNOW-SQUALLS",15
"HEAVY SNOW AND STRONG WINDS",1
"HEAVY SNOW SHOWER",1
"HEAVY SNOW SQUALLS",20
"HEAVY SNOW/BLIZZARD",1
"HEAVY SNOW/BLIZZARD/AVALANCHE",1
"HEAVY SNOW/FREEZING RAIN",1
"HEAVY SNOW/HIGH WINDS & FLOOD",1
"HEAVY SNOW/ICE",3
"HEAVY SNOW/SQUALLS",2
"HEAVY SNOW/WIND",1
"HEAVY SNOW/WINTER STORM",1
"HEAVY SNOWPACK",1
"HEAVY SURF",21
"HEAVY SURF COASTAL FLOODING",1
"HEAVY SURF/HIGH SURF",17
"HEAVY SWELLS",1
"HIGH  WINDS",1
"HIGH SEAS",2
"HIGH SURF",58
"HIGH SWELLS",1
"HIGH WATER",2
"HIGH WIND",5330
"HIGH WIND (G40)",2
"HIGH WIND 48",1
"HIGH WIND AND SEAS",1
"HIGH WIND DAMAGE",2
"HIGH WIND/BLIZZARD",1
"HIGH WIND/HEAVY SNOW",1
"HIGH WIND/SEAS",1
"HIGH WINDS",601
"HIGH WINDS HEAVY RAINS",1
"HIGH WINDS/",1
"HIGH WINDS/COASTAL FLOOD",1
"HIGH WINDS/COLD",5
"HIGH WINDS/HEAVY RAIN",1
"HIGH WINDS/SNOW",3
"HURRICANE",121
"HURRICANE-GENERATED SWELLS",2
"HURRICANE EMILY",1
"HURRICANE ERIN",5
"HURRICANE FELIX",1
"HURRICANE GORDON",1
"HURRICANE OPAL",8
"HURRICANE OPAL/HIGH WINDS",1
"HURRICANE/TYPHOON",69
"ICE",20
"ICE AND SNOW",1
"ICE FLOES",2
"ICE JAM",1
"ICE JAM FLOOD (MINOR",1
"ICE JAM FLOODING",5
"ICE ROADS",1
"ICE STORM",666
"ICE/STRONG WINDS",1
"ICY ROADS",20
"LAKE-EFFECT SNOW",194
"LAKE EFFECT SNOW",4
"LAKE FLOOD",1
"LAKESHORE FLOOD",5
"LANDSLIDE",189
"LANDSLIDES",3
"LANDSLUMP",1
"LANDSPOUT",2
"LATE SEASON SNOW",1
"LIGHT FREEZING RAIN",22
"LIGHT SNOW",141
"LIGHT SNOWFALL",1
"LIGHTING",1
"LIGHTNING",10270
"LIGHTNING  WAUSEON",1
"LIGHTNING AND HEAVY RAIN",1
"LIGHTNING FIRE",1
"LIGHTNING THUNDERSTORM WINDS",1
"LIGHTNING/HEAVY RAIN",1
"LIGNTNING",1
"MAJOR FLOOD",3
"MARINE ACCIDENT",1
"MARINE HAIL",2
"MARINE HIGH WIND",18
"MARINE STRONG WIND",34
"MARINE THUNDERSTORM WIND",23
"MARINE TSTM WIND",104
"MICROBURST",4
"MICROBURST WINDS",1
"MINOR FLOODING",1
"MIXED PRECIPITATION",18
"MUD SLIDE",3
"MUD SLIDES",1
"MUD SLIDES URBAN FLOODING",1
